AidID,PersonID,ProgramType,DisbursementDate,Amount,EligibilityStatus,PaymentMethod,Province,IncomeBracket,AgeGroup,ReceivedThroughIndigenousServices
A0050,P0050,CCB,2023-03-23,2701,Eligible,Cheque,NB,High,18-34,True
A0051,P0051,GIS,2023-04-24,850,Eligible,Cheque,ON,High,0-17,True
A0052,P0052,CRB,2022-11-22,2428,Eligible,Direct Deposit,SK,High,35-54,False
A0053,P0053,GST Credit,2022-07-20,848,Eligible,Direct Deposit,ON,Medium,35-54,False
A0054,P0054,GST Credit,2025-01-23,681,Eligible,Cheque,ON,Medium,55+,True
A0055,P0055,GST Credit,2022-12-22,1136,Eligible,Direct Deposit,NB,High,0-17,True
A0056,P0056,GST Credit,2022-12-26,1517,Eligible,Direct Deposit,NS,High,35-54,True
A0057,P0057,GST Credit,2023-03-09,2726,Eligible,Cheque,BC,Medium,18-34,False
A0058,P0058,GST Credit,2024-01-07,1271,Ineligible,Direct Deposit,SK,Low,18-34,False
A0059,P0059,CERB,2022-08-25,1515,Eligible,Direct Deposit,NL,Low,18-34,True
A0060,P0060,CCB,2023-08-07,2611,Eligible,Direct Deposit,NS,Medium,18-34,True
A0061,P0061,GST Credit,2025-04-24,528,Pending,Direct Deposit,BC,Medium,35-54,True
A0062,P0062,CCB,2024-11-22,2919,Eligible,Direct Deposit,SK,High,35-54,False
A0063,P0063,GST Credit,2023-03-21,2644,Pending,Direct Deposit,AB,Low,18-34,True
A0064,P0064,GIS,2023-05-10,2393,Eligible,Direct Deposit,BC,Low,0-17,False
A0065,P0065,GST Credit,2025-05-25,1965,Eligible,Direct Deposit,NL,Low,0-17,False
A0066,P0066,CRB,2023-01-24,1726,Eligible,Direct Deposit,PE,Low,0-17,True
A0067,P0067,CERB,2022-09-29,2568,Pending,Direct Deposit,QC,Low,55+,True
A0068,P0068,GIS,2024-10-23,1625,Eligible,Direct Deposit,ON,Medium,0-17,True
A0069,P0069,GIS,2022-12-19,565,Eligible,Direct Deposit,QC,Medium,0-17,False
A0070,P0070,CRB,2024-04-19,1634,Pending,Direct Deposit,NS,Medium,18-34,False
A0071,P0071,GST Credit,2024-03-03,837,Eligible,Direct Deposit,PE,Low,35-54,False
A0072,P0072,CERB,2025-01-31,2670,Eligible,Cheque,ON,Low,55+,True
A0073,P0073,GIS,2023-10-01,2228,Eligible,Direct Deposit,SK,Medium,35-54,True
A0074,P0074,CERB,2024-02-28,946,Eligible,Direct Deposit,NS,High,35-54,False
A0075,P0075,GIS,2025-06-04,780,Eligible,Direct Deposit,NL,Low,18-34,False
A0076,P0076,GST Credit,2023-04-26,1095,Eligible,Cheque,NB,High,0-17,True
A0077,P0077,GIS,2024-12-11,2486,Eligible,Direct Deposit,SK,Low,55+,False
A0078,P0078,GIS,2025-05-18,1574,Eligible,Direct Deposit,BC,High,35-54,False
A0079,P0079,CCB,2024-06-24,709,Pending,Direct Deposit,NB,High,35-54,True
A0080,P0080,GST Credit,2025-04-13,625,Pending,Direct Deposit,NS,Low,35-54,False
A0081,P0081,CRB,2023-06-28,991,Eligible,Direct Deposit,BC,Medium,35-54,False
A0082,P0082,CRB,2023-06-14,1469,Ineligible,Direct Deposit,NL,Low,35-54,False
A0083,P0083,GST Credit,2023-05-23,1080,Eligible,Direct Deposit,QC,High,55+,True
A0084,P0084,CRB,2023-10-13,2805,Eligible,Cheque,BC,Medium,55+,True
A0085,P0085,GST Credit,2024-03-03,1711,Ineligible,Direct Deposit,QC,Medium,35-54,False
A0086,P0086,CRB,2024-05-27,729,Eligible,Direct Deposit,ON,Medium,35-54,True
A0087,P0087,CCB,2023-07-30,688,Eligible,Direct Deposit,AB,High,0-17,True
A0088,P0088,CRB,2025-05-06,2557,Ineligible,Cheque,MB,Low,35-54,True
A0089,P0089,GIS,2024-07-27,1001,Eligible,Direct Deposit,SK,Medium,0-17,True
A0090,P0090,GST Credit,2024-04-25,2632,Ineligible,Cheque,MB,Low,35-54,False
A0091,P0091,CERB,2025-01-25,548,Eligible,Cheque,ON,Low,55+,False
A0092,P0092,CERB,2022-12-14,1188,Eligible,Direct Deposit,BC,Medium,35-54,True
A0093,P0093,GST Credit,2023-04-18,886,Eligible,Direct Deposit,ON,Low,18-34,True
A0094,P0094,CCB,2023-03-03,1469,Eligible,Direct Deposit,MB,Low,18-34,True
A0095,P0095,CRB,2022-11-07,1505,Ineligible,Direct Deposit,MB,High,0-17,False
A0096,P0096,CCB,2023-02-26,2765,Eligible,Direct Deposit,SK,Low,35-54,False
A0097,P0097,CERB,2023-06-04,2224,Eligible,Direct Deposit,NB,Medium,0-17,True
A0098,P0098,GST Credit,2023-10-04,2504,Eligible,Cheque,PE,Low,0-17,False
A0099,P0099,GST Credit,2022-07-22,2802,Eligible,Direct Deposit,ON,Low,18-34,False
A0100,P0100,CCB,2023-06-11,2783,Eligible,Cheque,AB,Low,35-54,False
A0101,P0101,CCB,2022-10-30,2107,Pending,Direct Deposit,PE,Medium,35-54,False
A0102,P0102,CRB,2025-05-24,2289,Eligible,Direct Deposit,ON,Medium,0-17,True
A0103,P0103,GIS,2024-01-08,770,Eligible,Cheque,NL,Low,18-34,False
A0104,P0104,GIS,2024-09-03,622,Ineligible,Direct Deposit,NS,Low,18-34,True
A0105,P0105,CRB,2023-06-23,1780,Eligible,Direct Deposit,NS,High,35-54,False
A0106,P0106,GIS,2022-07-02,1944,Eligible,Direct Deposit,MB,Low,35-54,False
A0107,P0107,CERB,2022-07-06,758,Ineligible,Direct Deposit,NS,High,18-34,False
A0108,P0108,GIS,2023-01-02,1447,Eligible,Direct Deposit,QC,Low,35-54,False
A0109,P0109,CRB,2023-02-15,2594,Eligible,Direct Deposit,AB,Medium,18-34,True
A0110,P0110,GIS,2024-10-11,1362,Eligible,Direct Deposit,NS,Low,55+,True
A0111,P0111,GST Credit,2024-02-13,1024,Pending,Cheque,BC,High,18-34,False
A0112,P0112,CCB,2024-12-30,1387,Pending,Direct Deposit,QC,Medium,18-34,False
A0113,P0113,CERB,2024-10-20,707,Ineligible,Cheque,PE,Medium,18-34,True
A0114,P0114,GST Credit,2024-05-22,648,Eligible,Direct Deposit,QC,Low,35-54,True
A0115,P0115,GST Credit,2024-01-24,937,Eligible,Direct Deposit,ON,Medium,35-54,True
A0116,P0116,CRB,2024-08-30,2702,Eligible,Direct Deposit,MB,Medium,18-34,False
A0117,P0117,CCB,2023-07-23,2221,Eligible,Direct Deposit,SK,Low,35-54,False
A0118,P0118,CCB,2023-08-26,857,Eligible,Cheque,SK,Low,35-54,True
A0119,P0119,CERB,2025-04-15,1740,Pending,Direct Deposit,NL,High,18-34,True
A0120,P0120,CRB,2024-06-25,2430,Pending,Direct Deposit,AB,Low,18-34,False
A0121,P0121,CERB,2025-05-05,955,Eligible,Direct Deposit,ON,Medium,55+,False
A0122,P0122,GIS,2023-10-05,2132,Eligible,Direct Deposit,SK,Medium,18-34,True
A0123,P0123,GST Credit,2024-12-27,1128,Eligible,Cheque,MB,High,18-34,True
A0124,P0124,CERB,2023-07-14,985,Eligible,Cheque,PE,High,55+,True
A0125,P0125,GST Credit,2022-12-31,699,Ineligible,Direct Deposit,SK,High,0-17,True
A0126,P0126,CRB,2023-04-18,870,Ineligible,Direct Deposit,BC,Low,0-17,True
A0127,P0127,GIS,2023-05-04,1513,Eligible,Direct Deposit,QC,High,18-34,False
A0128,P0128,CRB,2025-04-01,2482,Eligible,Direct Deposit,SK,Low,55+,False
A0129,P0129,GIS,2025-03-29,1971,Eligible,Cheque,ON,Medium,0-17,False
A0130,P0130,GIS,2022-09-24,747,Eligible,Direct Deposit,NS,Medium,0-17,False
A0131,P0131,GST Credit,2024-08-09,1287,Eligible,Direct Deposit,NS,Low,0-17,True
A0132,P0132,CRB,2024-05-21,2811,Eligible,Direct Deposit,PE,High,0-17,True
A0133,P0133,CRB,2023-09-13,2578,Eligible,Cheque,NS,Low,0-17,True
A0134,P0134,CERB,2023-03-27,2021,Ineligible,Direct Deposit,PE,Medium,18-34,True
A0135,P0135,CRB,2022-08-28,1772,Eligible,Direct Deposit,ON,Medium,35-54,False
A0136,P0136,CERB,2022-10-06,1104,Eligible,Direct Deposit,AB,Medium,18-34,False
A0137,P0137,CCB,2023-08-15,2189,Eligible,Direct Deposit,NS,Low,18-34,True
A0138,P0138,CCB,2023-12-01,1917,Eligible,Direct Deposit,NL,Medium,0-17,True
A0139,P0139,CCB,2024-03-15,2320,Eligible,Direct Deposit,MB,High,18-34,False
A0140,P0140,CRB,2025-06-05,1001,Eligible,Direct Deposit,QC,Low,18-34,True
A0141,P0141,CRB,2024-01-03,1048,Eligible,Direct Deposit,NS,Medium,35-54,True
A0142,P0142,CERB,2023-01-12,1865,Eligible,Direct Deposit,PE,Low,0-17,False
A0143,P0143,GIS,2022-07-26,1338,Ineligible,Direct Deposit,ON,Medium,18-34,False
A0144,P0144,CERB,2025-01-10,1930,Eligible,Direct Deposit,NS,High,18-34,True
A0145,P0145,CCB,2025-03-21,1948,Ineligible,Direct Deposit,SK,Medium,55+,True
A0146,P0146,CERB,2024-11-26,1347,Eligible,Direct Deposit,NS,Medium,35-54,False
A0147,P0147,GIS,2023-12-13,1113,Eligible,Direct Deposit,PE,Medium,35-54,True
A0148,P0148,CRB,2022-09-29,911,Eligible,Cheque,BC,Medium,18-34,True
A0149,P0149,CERB,2023-10-09,2979,Eligible,Direct Deposit,BC,Low,55+,False
A0150,P0150,CCB,2023-07-29,1177,Pending,Direct Deposit,NS,Low,0-17,True
A0151,P0151,CCB,2022-09-28,658,Eligible,Direct Deposit,QC,Medium,0-17,False
A0152,P0152,CRB,2023-07-14,2561,Pending,Direct Deposit,ON,Medium,18-34,True
A0153,P0153,CERB,2022-11-10,872,Pending,Direct Deposit,NL,Medium,0-17,False
A0154,P0154,GIS,2025-01-31,2772,Eligible,Cheque,NL,Low,55+,True
A0155,P0155,CRB,2025-04-03,1596,Eligible,Direct Deposit,NS,Low,35-54,True
A0156,P0156,CERB,2024-07-30,1102,Eligible,Direct Deposit,NS,Low,18-34,True
A0157,P0157,GST Credit,2022-08-12,715,Pending,Direct Deposit,BC,High,35-54,True
A0158,P0158,CCB,2024-11-22,2496,Ineligible,Direct Deposit,PE,Medium,55+,False
A0159,P0159,GIS,2025-01-28,2064,Eligible,Direct Deposit,QC,Low,55+,False
A0160,P0160,GIS,2025-03-09,2340,Ineligible,Direct Deposit,NS,Low,35-54,True
A0161,P0161,GIS,2024-02-03,2462,Eligible,Direct Deposit,NL,High,55+,True
A0162,P0162,CCB,2025-01-16,1226,Eligible,Direct Deposit,ON,Low,55+,False
A0163,P0163,CERB,2022-09-17,1744,Eligible,Cheque,AB,High,35-54,False
A0164,P0164,CRB,2025-03-14,1565,Eligible,Cheque,SK,Low,0-17,True
A0165,P0165,CERB,2023-12-06,1175,Ineligible,Direct Deposit,NS,High,18-34,True
A0166,P0166,CRB,2023-12-03,782,Eligible,Direct Deposit,PE,High,35-54,True
A0167,P0167,GIS,2023-01-16,1581,Eligible,Cheque,NS,Medium,18-34,False
A0168,P0168,CERB,2024-06-17,2408,Eligible,Direct Deposit,PE,Low,35-54,True
A0169,P0169,GIS,2022-10-06,1652,Eligible,Direct Deposit,QC,Low,0-17,False
A0170,P0170,GST Credit,2024-01-20,1447,Eligible,Cheque,AB,Medium,0-17,True
A0171,P0171,GIS,2025-05-08,1164,Eligible,Cheque,MB,Medium,18-34,False
A0172,P0172,GIS,2023-04-10,2217,Eligible,Direct Deposit,ON,Low,0-17,True
A0173,P0173,CRB,2024-08-27,1648,Eligible,Direct Deposit,ON,Low,55+,True
A0174,P0174,GST Credit,2024-09-02,566,Eligible,Direct Deposit,PE,Medium,35-54,True
A0175,P0175,GIS,2024-06-02,2553,Eligible,Direct Deposit,BC,Medium,35-54,False
A0176,P0176,GIS,2022-06-27,1136,Eligible,Direct Deposit,PE,Low,35-54,True
A0177,P0177,GST Credit,2023-12-21,813,Eligible,Direct Deposit,BC,Low,18-34,True
A0178,P0178,GST Credit,2024-03-28,1064,Eligible,Direct Deposit,NB,High,18-34,True
A0179,P0179,CERB,2022-12-19,2101,Eligible,Direct Deposit,NL,Medium,35-54,True
A0180,P0180,CRB,2024-06-09,1325,Eligible,Direct Deposit,ON,Medium,18-34,False
A0181,P0181,GST Credit,2023-10-09,1605,Eligible,Direct Deposit,QC,Medium,18-34,False
A0182,P0182,GST Credit,2023-12-21,1525,Pending,Direct Deposit,PE,Low,18-34,False
A0183,P0183,CCB,2023-05-14,2751,Pending,Direct Deposit,QC,Low,18-34,True
A0184,P0184,GST Credit,2025-02-01,1161,Eligible,Cheque,AB,Low,55+,False
A0185,P0185,CRB,2024-10-24,1304,Eligible,Direct Deposit,QC,High,55+,True
A0186,P0186,GIS,2025-05-28,2951,Ineligible,Direct Deposit,NS,Medium,18-34,True
A0187,P0187,GIS,2025-01-06,1035,Eligible,Cheque,NL,Low,35-54,True
A0188,P0188,GIS,2023-07-25,1891,Eligible,Direct Deposit,NS,High,35-54,True
A0189,P0189,GIS,2022-09-14,1735,Ineligible,Direct Deposit,SK,Low,0-17,False
A0190,P0190,CCB,2024-12-30,2420,Eligible,Cheque,PE,High,55+,False
A0191,P0191,GST Credit,2025-02-17,2664,Eligible,Direct Deposit,ON,High,55+,False
A0192,P0192,GIS,2024-01-12,1127,Eligible,Direct Deposit,PE,Low,18-34,True
A0193,P0193,CERB,2022-11-28,1248,Eligible,Direct Deposit,NL,Low,18-34,True
A0194,P0194,GIS,2025-05-03,604,Eligible,Direct Deposit,MB,Medium,18-34,True
A0195,P0195,GST Credit,2024-05-11,545,Eligible,Cheque,MB,Medium,18-34,True
A0196,P0196,GIS,2024-01-09,1854,Eligible,Cheque,SK,Medium,0-17,True
A0197,P0197,CCB,2024-10-31,1739,Eligible,Direct Deposit,NL,High,55+,True
A0198,P0198,CRB,2023-02-24,1481,Eligible,Direct Deposit,NB,Medium,0-17,True
A0199,P0199,CRB,2023-05-24,1459,Eligible,Direct Deposit,NB,Low,18-34,True
A0200,P0200,GST Credit,2025-02-02,2015,Eligible,Direct Deposit,NB,Low,55+,False
A0201,P0201,CRB,2024-10-23,2336,Eligible,Direct Deposit,ON,Medium,35-54,False
A0202,P0202,CRB,2023-01-05,2996,Eligible,Direct Deposit,ON,Low,18-34,False
A0203,P0203,CERB,2022-11-07,1981,Pending,Direct Deposit,NB,Medium,18-34,False
A0204,P0204,GST Credit,2024-05-05,2059,Eligible,Direct Deposit,MB,Low,0-17,True
A0205,P0205,GST Credit,2023-09-18,2007,Eligible,Direct Deposit,NL,Low,35-54,False
A0206,P0206,CRB,2024-02-14,2563,Eligible,Direct Deposit,QC,Low,0-17,False
A0207,P0207,CRB,2023-04-23,2500,Eligible,Direct Deposit,NL,Medium,18-34,True
A0208,P0208,CRB,2023-06-22,2790,Eligible,Direct Deposit,NB,Low,55+,True
A0209,P0209,CCB,2022-08-29,2473,Eligible,Direct Deposit,NL,Medium,0-17,False
A0210,P0210,GIS,2023-11-29,1411,Eligible,Direct Deposit,AB,Medium,55+,True
A0211,P0211,CCB,2023-01-29,1794,Eligible,Direct Deposit,ON,Medium,55+,True
A0212,P0212,GST Credit,2022-08-12,2302,Ineligible,Direct Deposit,ON,Medium,0-17,True
A0213,P0213,CERB,2022-08-21,2253,Ineligible,Cheque,MB,Low,55+,True
A0214,P0214,GIS,2023-12-20,614,Eligible,Direct Deposit,QC,Medium,18-34,True
A0215,P0215,CERB,2024-06-04,2103,Eligible,Direct Deposit,NB,Low,55+,True
A0216,P0216,GST Credit,2024-06-01,1822,Eligible,Direct Deposit,PE,Medium,35-54,True
A0217,P0217,GST Credit,2022-10-28,2360,Eligible,Direct Deposit,MB,Low,35-54,True
A0218,P0218,CERB,2025-03-15,2944,Eligible,Direct Deposit,MB,Medium,18-34,False
A0219,P0219,CERB,2024-11-07,2941,Eligible,Cheque,QC,High,55+,True
A0220,P0220,CERB,2023-05-05,1598,Ineligible,Direct Deposit,NS,Medium,35-54,True
A0221,P0221,GST Credit,2024-03-26,1477,Eligible,Cheque,NB,Medium,18-34,True
A0222,P0222,CRB,2024-06-30,2005,Eligible,Cheque,PE,Medium,55+,False
A0223,P0223,CERB,2022-09-11,1626,Eligible,Direct Deposit,ON,Low,18-34,True
A0224,P0224,GIS,2025-03-10,796,Eligible,Direct Deposit,QC,High,0-17,True
A0225,P0225,GST Credit,2022-10-23,2725,Eligible,Direct Deposit,PE,Low,0-17,False
A0226,P0226,CCB,2024-07-10,2862,Eligible,Direct Deposit,AB,High,18-34,False
A0227,P0227,CCB,2023-10-09,1562,Ineligible,Direct Deposit,MB,Medium,18-34,True
A0228,P0228,GIS,2024-07-20,758,Eligible,Direct Deposit,QC,Medium,55+,False
A0229,P0229,CRB,2025-04-10,2554,Eligible,Direct Deposit,ON,Medium,0-17,True
A0230,P0230,CERB,2025-03-18,2596,Pending,Direct Deposit,NL,Medium,35-54,True
A0231,P0231,GST Credit,2025-01-16,2708,Eligible,Direct Deposit,ON,Medium,0-17,True
A0232,P0232,CERB,2023-05-26,2392,Eligible,Direct Deposit,AB,Low,55+,True
A0233,P0233,GST Credit,2024-11-05,675,Ineligible,Direct Deposit,QC,Medium,55+,False
A0234,P0234,CCB,2024-12-11,1500,Eligible,Direct Deposit,AB,Medium,18-34,True
A0235,P0235,CERB,2024-10-03,2418,Eligible,Direct Deposit,NB,High,55+,True
A0236,P0236,GIS,2024-09-20,2167,Eligible,Direct Deposit,NB,Medium,0-17,False
A0237,P0237,CRB,2022-09-24,775,Pending,Cheque,NL,Low,35-54,False
A0238,P0238,GIS,2023-01-12,1175,Eligible,Direct Deposit,MB,Low,18-34,True
A0239,P0239,CRB,2023-08-08,2323,Eligible,Direct Deposit,NS,Medium,55+,False
A0240,P0240,CERB,2025-04-12,1551,Eligible,Direct Deposit,BC,Low,0-17,True
A0241,P0241,CERB,2024-09-04,1856,Eligible,Direct Deposit,PE,Low,35-54,False
A0242,P0242,CRB,2022-08-31,2603,Eligible,Direct Deposit,AB,High,35-54,False
A0243,P0243,CCB,2024-04-10,1046,Eligible,Direct Deposit,PE,Medium,18-34,False
A0244,P0244,GST Credit,2022-09-15,1635,Eligible,Direct Deposit,NL,Medium,0-17,True
A0245,P0245,GIS,2022-09-22,2583,Eligible,Direct Deposit,PE,Low,0-17,True
A0246,P0246,GIS,2025-05-30,2540,Pending,Direct Deposit,PE,Medium,18-34,True
A0247,P0247,GIS,2023-12-12,938,Eligible,Direct Deposit,ON,Low,35-54,True
A0248,P0248,CERB,2024-11-01,2252,Eligible,Direct Deposit,QC,Medium,0-17,True
A0249,P0249,GIS,2023-09-15,2115,Pending,Direct Deposit,MB,Low,18-34,False
A0250,P0250,GST Credit,2024-01-27,2349,Eligible,Cheque,BC,High,0-17,True
A0251,P0251,GST Credit,2025-05-28,2100,Eligible,Direct Deposit,QC,Medium,35-54,True
A0252,P0252,CRB,2022-11-27,2163,Ineligible,Direct Deposit,ON,Medium,0-17,False
A0253,P0253,CERB,2024-12-08,806,Eligible,Direct Deposit,PE,Medium,18-34,True
A0254,P0254,GST Credit,2023-05-24,1118,Eligible,Direct Deposit,BC,Medium,0-17,False
A0255,P0255,CCB,2023-09-29,1632,Eligible,Cheque,ON,Low,18-34,True
A0256,P0256,CERB,2023-03-10,1895,Eligible,Direct Deposit,ON,Medium,35-54,True
A0257,P0257,CERB,2024-11-24,2904,Eligible,Direct Deposit,ON,Low,18-34,True
A0258,P0258,GST Credit,2023-09-01,2728,Eligible,Direct Deposit,NB,High,0-17,True
A0259,P0259,CCB,2024-09-27,1879,Eligible,Direct Deposit,BC,High,35-54,False
A0260,P0260,CRB,2022-07-25,2199,Eligible,Cheque,ON,Low,35-54,True
A0261,P0261,GST Credit,2024-07-10,2615,Eligible,Direct Deposit,NS,High,0-17,True
A0262,P0262,CCB,2024-07-08,2839,Eligible,Cheque,PE,Low,35-54,True
A0263,P0263,CERB,2022-09-25,680,Ineligible,Direct Deposit,BC,Low,55+,True
A0264,P0264,CCB,2022-10-08,2981,Eligible,Direct Deposit,NB,High,0-17,False
A0265,P0265,CERB,2023-09-14,1987,Ineligible,Direct Deposit,AB,Medium,35-54,True
A0266,P0266,GST Credit,2024-03-15,1413,Eligible,Cheque,AB,Medium,35-54,False
A0267,P0267,GST Credit,2025-04-18,2057,Eligible,Direct Deposit,MB,Low,18-34,False
A0268,P0268,GIS,2025-04-20,2613,Eligible,Direct Deposit,SK,Low,0-17,True
A0269,P0269,GIS,2024-08-29,1544,Eligible,Cheque,NS,High,0-17,False
A0270,P0270,GIS,2024-02-20,2135,Eligible,Direct Deposit,AB,Low,55+,True
A0271,P0271,GST Credit,2022-08-05,2931,Eligible,Direct Deposit,NB,Low,55+,True
A0272,P0272,CRB,2024-10-02,2138,Eligible,Direct Deposit,SK,Medium,35-54,True
A0273,P0273,GST Credit,2023-05-31,2082,Eligible,Direct Deposit,ON,Medium,18-34,False
A0274,P0274,CCB,2025-02-11,2586,Eligible,Direct Deposit,ON,Medium,35-54,False
A0275,P0275,GST Credit,2024-04-01,1808,Eligible,Direct Deposit,NL,Low,35-54,True
A0276,P0276,GST Credit,2022-11-06,1321,Eligible,Direct Deposit,PE,Low,18-34,False
A0277,P0277,CERB,2023-09-15,1101,Eligible,Direct Deposit,SK,Low,0-17,True
A0278,P0278,CERB,2025-05-01,2120,Eligible,Direct Deposit,PE,High,35-54,True
A0279,P0279,CERB,2024-11-10,1284,Eligible,Cheque,NB,Low,18-34,True
A0280,P0280,GST Credit,2023-06-09,1711,Eligible,Direct Deposit,NS,Medium,35-54,False
A0281,P0281,CRB,2023-06-23,1170,Pending,Direct Deposit,SK,Medium,18-34,False
A0282,P0282,CCB,2023-06-29,1766,Eligible,Direct Deposit,AB,High,0-17,True
A0283,P0283,CCB,2024-02-01,1596,Eligible,Direct Deposit,NS,High,0-17,True
A0284,P0284,CRB,2024-04-09,2497,Eligible,Direct Deposit,NL,Low,18-34,True
A0285,P0285,CRB,2024-12-31,600,Pending,Direct Deposit,PE,Low,55+,True
A0286,P0286,CCB,2022-08-25,2279,Eligible,Direct Deposit,PE,Medium,0-17,True
A0287,P0287,GIS,2023-12-17,675,Pending,Direct Deposit,NS,Low,55+,False
A0288,P0288,CERB,2024-03-08,737,Eligible,Direct Deposit,ON,Medium,18-34,True
A0289,P0289,CERB,2022-11-22,1622,Eligible,Direct Deposit,PE,Medium,35-54,True
A0290,P0290,CCB,2024-11-30,2477,Ineligible,Direct Deposit,NL,High,18-34,True
A0291,P0291,CRB,2023-11-12,2503,Eligible,Direct Deposit,AB,Low,35-54,False
A0292,P0292,GIS,2023-01-30,2037,Eligible,Direct Deposit,BC,High,35-54,False
A0293,P0293,CCB,2022-07-28,1254,Ineligible,Cheque,AB,Low,18-34,True
A0294,P0294,CERB,2023-07-27,2758,Pending,Direct Deposit,AB,Medium,0-17,False
A0295,P0295,GST Credit,2023-06-23,1646,Eligible,Direct Deposit,PE,Medium,55+,True
