CommunityID,HouseholdID,PersonID,Province,UrbanRural,HouseholdSize,HousingCondition,AccessToInternet,EducationLevel,EmploymentStatus,IndigenousStatus,AgeGroup,Gender
C023,H023,P0223,ON,Suburban,2,Needs Major Repairs,True,College,Unemployed,True,18-34,Female
C024,H024,P0224,QC,Suburban,1,Adequate,True,College,Employed,True,0-17,Male
C025,H025,P0225,PE,Urban,1,Adequate,True,College,Student,True,0-17,Other
C026,H026,P0226,AB,Rural,3,Adequate,True,University,Student,True,18-34,Male
C027,H027,P0227,MB,Suburban,4,Adequate,True,None,Student,True,18-34,Other
C028,H028,P0228,QC,Urban,2,Adequate,True,College,Student,True,55+,Female
C029,H029,P0229,ON,Suburban,1,Adequate,True,University,Retired,True,0-17,Male
C030,H030,P0230,NL,Remote,1,Adequate,True,University,Unemployed,True,35-54,Other
C031,H031,P0231,ON,Urban,5,Adequate,True,High School,Retired,True,0-17,Male
C032,H032,P0232,AB,Urban,3,Adequate,True,University,Unemployed,True,55+,Male
C033,H033,P0233,QC,Suburban,4,Adequate,True,College,Unemployed,True,55+,Female
C034,H034,P0234,AB,Rural,2,Adequate,True,College,Employed,True,18-34,Male
C035,H035,P0235,NB,Remote,1,Adequate,False,University,Student,True,55+,Other
C036,H036,P0236,NB,Rural,5,Adequate,True,College,Unemployed,True,0-17,Other
C037,H037,P0237,NL,Urban,3,Adequate,True,University,Student,True,35-54,Other
C038,H038,P0238,MB,Rural,3,Adequate,True,College,Student,True,18-34,Other
C039,H039,P0239,NS,Urban,2,Adequate,True,High School,Student,True,55+,Female
C040,H040,P0240,BC,Rural,1,Adequate,True,None,Retired,True,0-17,Male
C041,H041,P0241,PE,Suburban,2,Adequate,True,High School,Student,True,35-54,Female
C042,H042,P0242,AB,Rural,2,Adequate,True,High School,Unemployed,True,35-54,Male
C043,H043,P0243,PE,Urban,6,Adequate,True,None,Retired,True,18-34,Male
C044,H044,P0244,NL,Remote,5,Adequate,True,College,Student,True,0-17,Male
C045,H045,P0245,PE,Remote,3,Adequate,True,None,Employed,True,0-17,Female
C046,H046,P0246,PE,Remote,6,Adequate,True,University,Student,True,18-34,Male
C047,H047,P0247,ON,Urban,4,Adequate,True,None,Student,True,35-54,Female
C048,H048,P0248,QC,Rural,3,Needs Major Repairs,True,High School,Retired,True,0-17,Other
C049,H049,P0249,MB,Remote,3,Adequate,True,None,Unemployed,True,18-34,Other
C050,H050,P0250,BC,Remote,5,Needs Major Repairs,True,College,Student,True,0-17,Male
C051,H051,P0251,QC,Remote,4,Needs Major Repairs,True,High School,Retired,True,35-54,Female
C052,H052,P0252,ON,Suburban,1,Adequate,True,University,Retired,True,0-17,Other
C053,H053,P0253,PE,Urban,4,Adequate,True,College,Unemployed,True,18-34,Female
C054,H054,P0254,BC,Urban,1,Adequate,False,High School,Retired,True,0-17,Female
C055,H055,P0255,ON,Urban,4,Needs Major Repairs,True,University,Unemployed,True,18-34,Male
C056,H056,P0256,ON,Urban,2,Adequate,True,College,Employed,True,35-54,Other
C057,H057,P0257,ON,Urban,4,Needs Major Repairs,True,University,Student,True,18-34,Male
C058,H058,P0258,NB,Suburban,6,Adequate,True,None,Retired,True,0-17,Male
C059,H059,P0259,BC,Rural,6,Adequate,True,None,Employed,True,35-54,Other
C060,H060,P0260,ON,Suburban,5,Adequate,True,University,Retired,True,35-54,Other
C061,H061,P0261,NS,Remote,1,Adequate,True,None,Retired,True,0-17,Female
C062,H062,P0262,PE,Suburban,3,Adequate,True,University,Employed,True,35-54,Other
C063,H063,P0263,BC,Urban,5,Adequate,True,College,Retired,True,55+,Female
C064,H064,P0264,NB,Suburban,6,Needs Major Repairs,True,High School,Retired,True,0-17,Female
C065,H065,P0265,AB,Urban,6,Adequate,True,University,Employed,True,35-54,Female
C066,H066,P0266,AB,Suburban,1,Adequate,True,High School,Retired,True,35-54,Other
C067,H067,P0267,MB,Urban,6,Adequate,True,High School,Unemployed,True,18-34,Male
C068,H068,P0268,SK,Remote,6,Adequate,True,University,Retired,True,0-17,Female
C069,H069,P0269,NS,Urban,1,Adequate,True,None,Student,True,0-17,Male
C070,H070,P0270,AB,Suburban,6,Adequate,True,College,Retired,True,55+,Male
C071,H071,P0271,NB,Remote,3,Adequate,True,High School,Student,True,55+,Other
C072,H072,P0272,SK,Suburban,2,Adequate,True,College,Student,True,35-54,Male
C073,H073,P0273,ON,Remote,5,Adequate,True,High School,Retired,True,18-34,Male
C074,H074,P0274,ON,Rural,3,Adequate,False,University,Employed,True,35-54,Other
C075,H075,P0275,NL,Rural,3,Adequate,True,None,Unemployed,True,35-54,Female
C076,H076,P0276,PE,Rural,2,Adequate,False,College,Unemployed,True,18-34,Male
C077,H077,P0277,SK,Suburban,5,Adequate,True,High School,Retired,True,0-17,Other
C078,H078,P0278,PE,Suburban,3,Adequate,True,University,Employed,True,35-54,Male
C079,H079,P0279,NB,Remote,6,Adequate,True,University,Employed,True,18-34,Male
C080,H080,P0280,NS,Remote,2,Adequate,True,High School,Unemployed,True,35-54,Female
C081,H081,P0281,SK,Remote,5,Needs Major Repairs,True,High School,Employed,True,18-34,Male
C082,H082,P0282,AB,Remote,4,Needs Major Repairs,True,High School,Retired,True,0-17,Other
C083,H083,P0283,NS,Urban,1,Adequate,True,None,Retired,True,0-17,Male
C084,H084,P0284,NL,Rural,6,Adequate,True,High School,Employed,True,18-34,Female
C085,H085,P0285,PE,Urban,2,Needs Major Repairs,True,High School,Retired,True,55+,Female
C086,H086,P0286,PE,Urban,1,Adequate,True,None,Student,True,0-17,Other
C087,H087,P0287,NS,Urban,4,Adequate,True,University,Unemployed,True,55+,Female
C088,H088,P0288,ON,Urban,3,Adequate,True,High School,Retired,True,18-34,Male
C089,H089,P0289,PE,Rural,3,Adequate,True,College,Employed,True,35-54,Female
C090,H090,P0290,NL,Urban,5,Needs Major Repairs,True,University,Unemployed,True,18-34,Other
C091,H091,P0291,AB,Remote,2,Adequate,True,College,Retired,True,35-54,Female
C092,H092,P0292,BC,Suburban,2,Adequate,True,High School,Unemployed,True,35-54,Female
C093,H093,P0293,AB,Remote,5,Adequate,True,None,Employed,True,18-34,Female
C094,H094,P0294,AB,Suburban,1,Adequate,True,None,Student,True,0-17,Other
C095,H095,P0295,PE,Remote,3,Needs Major Repairs,True,None,Student,True,55+,Female
C096,H096,P0296,QC,Remote,3,Adequate,True,High School,Retired,True,55+,Female
C097,H097,P0297,ON,Suburban,2,Adequate,True,High School,Student,True,0-17,Male
C098,H098,P0298,PE,Rural,2,Adequate,True,College,Retired,True,35-54,Other
C099,H099,P0299,ON,Urban,5,Needs Major Repairs,True,None,Unemployed,True,55+,Female
C100,H100,P0300,NB,Remote,4,Adequate,True,High School,Retired,True,55+,Other
C001,H101,P0301,QC,Rural,1,Adequate,True,University,Retired,True,55+,Female
C002,H102,P0302,PE,Urban,6,Adequate,True,High School,Retired,True,35-54,Female
C003,H103,P0303,MB,Rural,4,Adequate,False,High School,Student,True,18-34,Female
C004,H104,P0304,AB,Rural,4,Adequate,True,University,Retired,True,18-34,Male
C005,H105,P0305,NB,Urban,2,Adequate,True,None,Employed,True,18-34,Male
C006,H106,P0306,QC,Remote,2,Adequate,True,University,Retired,True,35-54,Male
C007,H107,P0307,PE,Rural,2,Adequate,True,None,Unemployed,True,35-54,Other
C008,H108,P0308,NL,Remote,4,Adequate,True,University,Employed,True,18-34,Other
C009,H109,P0309,NS,Remote,1,Adequate,True,College,Unemployed,True,55+,Male
C010,H110,P0310,NS,Remote,2,Adequate,True,None,Unemployed,True,35-54,Other
C011,H111,P0311,ON,Urban,3,Adequate,True,High School,Unemployed,True,35-54,Female
C012,H112,P0312,QC,Suburban,1,Adequate,True,College,Employed,True,18-34,Female
C013,H113,P0313,AB,Remote,3,Adequate,True,None,Employed,True,18-34,Female
C014,H114,P0314,AB,Suburban,1,Adequate,True,None,Student,True,0-17,Male
C015,H115,P0315,BC,Suburban,2,Adequate,True,None,Employed,True,18-34,Other
C016,H116,P0316,NS,Rural,6,Needs Major Repairs,True,University,Retired,True,0-17,Male
C017,H117,P0317,NB,Remote,5,Adequate,True,None,Unemployed,True,0-17,Other
C018,H118,P0318,QC,Remote,2,Needs Major Repairs,True,High School,Student,True,18-34,Female
C019,H119,P0319,AB,Remote,4,Adequate,True,None,Employed,True,18-34,Male
C020,H120,P0320,BC,Suburban,6,Adequate,True,High School,Unemployed,True,0-17,Other
C021,H121,P0321,QC,Urban,4,Adequate,False,High School,Employed,True,35-54,Other
C022,H122,P0322,SK,Suburban,1,Adequate,True,High School,Student,True,18-34,Female
C023,H123,P0323,AB,Remote,4,Adequate,True,College,Employed,True,55+,Male
C024,H124,P0324,SK,Remote,6,Adequate,True,High School,Employed,True,55+,Male
C025,H125,P0325,QC,Remote,6,Needs Major Repairs,True,University,Unemployed,True,0-17,Male
C026,H126,P0326,AB,Suburban,2,Adequate,True,None,Retired,True,18-34,Female
